Etapa,Tarefa,Prazo Estimado,Status
Aprendizado Técnico,"Aprender Java básico (Sintaxe, POO, Collections)",1-2 meses,Pendente
Aprendizado Técnico,"Aprofundar em Java Avançado (Streams, Threads, Lambdas)",1-2 meses,Pendente
Aprendizado Técnico,"Estudar Spring Boot (API REST, Spring Security, Spring Data)",2-3 meses,Pendente
Aprendizado Técnico,"Aprender Banco de Dados (MySQL, PostgreSQL, NoSQL - MongoDB)",2 meses,Pendente
Aprendizado Técnico,"Estudar Arquitetura de Software (Microservices, Clean Architecture)",2 meses,Pendente
Aprendizado Técnico,"Conhecer DevOps (Docker, Kubernetes, CI/CD, AWS, Azure)",2-3 meses,Pendente
Projetos Práticos,Criar um projeto pessoal em Java (Ex: API REST de controle financeiro),2 meses,Pendente
Projetos Práticos,Subir um projeto no GitHub e documentá-lo,1 mês,Pendente
Projetos Práticos,Contribuir para projetos open-source no GitHub,2 meses,Pendente
Certificações,Obter certificação Oracle Certified Associate (OCA),3 meses,Pendente
Certificações,Obter certificação Spring Professional,3 meses,Pendente
Experiência Profissional,Conseguir estágio ou freelancer para ganhar experiência,6 meses,Pendente
Experiência Profissional,Participar de hackathons e desafios de programação,Contínuo,Pendente
Soft Skills & Entrevistas,Desenvolver habilidades de comunicação e trabalho em equipe,Contínuo,Pendente
Soft Skills & Entrevistas,"Treinar entrevistas técnicas (Ex: LeetCode, CodeSignal, HackerRank)",Contínuo,Pendente
Networking e Oportunidades,Conectar-se no LinkedIn com engenheiros do Itaú,Contínuo,Pendente
Networking e Oportunidades,Acompanhar vagas e se candidatar no site de carreiras do Itaú,Contínuo,Pendente
